no,stock,from,to,records
175,ICB3RDNRB,2015-10-15 11:24:00,2024-01-31 14:20:00,41019
176,ICBAGRANI1,2017-10-08 10:31:00,2024-01-31 14:14:00,23780
177,ICBAMCL2ND,2015-10-15 11:24:00,2024-01-31 14:27:00,35085
178,ICBEPMF1S1,2015-10-15 11:16:00,2024-01-31 14:20:00,38318
179,ICBIBANK,2015-10-15 11:04:00,2024-01-31 14:17:00,56218
180,ICBSONALI1,2015-10-15 12:58:00,2024-01-31 14:17:00,21465
181,ICICL,2022-12-18 10:00:00,2024-01-31 14:20:00,41197
182,IDLC,2015-10-15 10:36:00,2024-01-31 14:18:00,127678
183,IFADAUTOS,2015-10-15 11:04:00,2024-01-31 14:18:00,177756
184,IFIC,2015-10-15 10:40:00,2024-01-31 14:26:00,206783
185,IFIC1STMF,2015-10-15 10:50:00,2024-01-31 14:28:00,48674
186,IFILISLMF1,2015-10-15 11:00:00,2024-01-31 14:29:00,33928
187,ILFSL,2015-10-15 11:10:00,2024-01-31 14:27:00,122332
188,IMAMBUTTON,2015-10-15 12:18:00,2024-01-31 14:20:00,58970
189,INDEXAGRO,2021-04-07 10:00:00,2024-01-31 14:27:00,47001
190,INTECH,2015-10-15 11:08:00,2024-01-31 14:28:00,150699
191,INTRACO,2018-05-17 10:31:00,2024-01-31 14:27:00,178067
192,IPDC,2015-10-15 10:34:00,2024-01-31 14:29:00,126244
193,ISLAMIBANK,2015-10-15 10:44:00,2024-01-29 12:07:00,128884
194,ISLAMICFIN,2015-10-15 10:42:00,2024-01-31 14:19:00,125701
195,ISLAMIINS,2015-10-15 11:00:00,2024-01-31 14:22:00,115725
196,ISNLTD,2015-10-15 13:43:00,2024-01-31 14:28:00,111545
197,ITC,2016-01-10 10:34:00,2024-01-31 14:28:00,163454
198,JAMUNABANK,2015-10-15 11:04:00,2024-01-31 14:24:00,102607
199,JAMUNAOIL,2015-10-15 10:48:00,2024-01-31 14:24:00,87937
200,JANATAINS,2015-10-15 11:16:00,2024-01-31 14:29:00,106633
201,JHRML,2022-03-31 10:09:00,2024-01-31 14:28:00,90025
202,JMISMDL,2015-10-15 10:42:00,2024-01-31 14:26:00,154991
203,JUTESPINN,2015-10-15 12:56:00,2024-01-31 14:23:00,31789
204,KARNAPHULI,2015-10-15 11:36:00,2024-01-31 14:29:00,116561
205,KAY&QUE,,,0
206,KBPPWBIL,2015-10-15 10:44:00,2024-01-31 14:28:00,159205
207,KBSEED,2022-08-30 15:00:00,2024-01-31 14:24:00,5912
208,KDSALTD,2015-10-15 10:34:00,2024-01-31 14:20:00,144998
209,KEYACOSMET,2015-10-15 10:34:00,2024-01-31 14:29:00,205847
210,KFL,2022-08-30 15:00:00,2024-01-31 14:20:00,10213
211,KOHINOOR,2015-10-15 13:39:00,2024-01-31 14:29:00,89867
212,KPCL,2015-10-15 11:04:00,2024-01-30 14:01:00,177597
213,KPPL,2015-10-15 10:34:00,2024-01-31 14:28:00,109468
214,KTL,2018-11-12 10:30:00,2024-01-31 14:28:00,107174
215,LANKABAFIN,2015-10-15 10:40:00,2024-01-31 14:29:00,219697
216,LEGACYFOOT,2015-10-15 10:36:00,2024-01-31 14:24:00,173102
217,LHBL,2015-10-15 10:34:00,2024-01-31 14:29:00,273143
218,LIBRAINFU,2015-10-15 14:05:00,2024-01-31 14:26:00,119966
219,LINDEBD,2015-10-15 11:24:00,2024-01-31 14:28:00,89055
220,LOVELLO,2021-02-10 10:29:00,2024-01-31 14:25:00,77569
221,LRBDL,2021-03-09 10:22:00,2024-01-31 14:24:00,82890
222,LRGLOBMF1,2015-10-15 10:36:00,2024-01-31 14:25:00,37342
223,MAKSONSPIN,2015-10-15 10:48:00,2024-01-31 14:27:00,156629
224,MALEKSPIN,2015-10-15 10:44:00,2024-01-31 14:29:00,130090
225,MAMUNAGRO,2022-08-30 15:00:00,2024-01-31 14:17:00,7677
226,MARICO,2015-10-15 11:00:00,2024-01-31 14:27:00,63111
227,MASTERAGRO,2022-08-30 15:00:00,2024-01-31 14:21:00,9641
228,MATINSPINN,2015-10-15 10:36:00,2024-01-31 14:29:00,69421
229,MBL1STMF,2015-10-15 10:46:00,2024-01-31 14:06:00,35391
230,MEGCONMILK,2015-10-15 11:36:00,2024-01-31 14:10:00,46754
231,MEGHNACEM,2015-10-15 11:30:00,2024-01-31 14:21:00,53258
232,MEGHNAINS,2022-06-08 10:07:00,2024-01-31 14:29:00,40939
233,MEGHNALIFE,2015-10-15 11:18:00,2024-01-31 14:22:00,134533
234,MEGHNAPET,2015-10-15 12:12:00,2024-01-31 14:19:00,48482
235,MERCANBANK,2015-10-15 10:46:00,2024-01-31 14:19:00,150776
236,MERCINS,2015-10-15 13:37:00,2024-01-31 14:26:00,92229
237,METROSPIN,2015-10-15 11:06:00,2024-01-31 14:27:00,141175
238,MHSML,2015-10-15 10:34:00,2024-01-31 14:27:00,109586
239,MIDASFIN,2015-10-15 12:02:00,2024-01-31 14:19:00,90146
240,MIDLANDBNK,2023-03-27 10:01:00,2024-01-31 14:29:00,28178
241,MIRACLEIND,2015-10-15 10:40:00,2024-01-31 14:29:00,201176
242,MIRAKHTER,2021-02-02 10:00:00,2024-01-31 14:20:00,69632
243,MITHUNKNIT,2015-10-15 10:34:00,2024-01-31 14:17:00,70189
244,MJLBD,2015-10-15 10:42:00,2024-01-31 14:14:00,135326
245,MKFOOTWEAR,2023-08-03 10:02:00,2024-01-31 14:18:00,3379
246,MLDYEING,2018-09-17 15:28:00,2024-01-31 14:24:00,84265
247,MONNOAGML,2015-10-15 11:20:00,2024-01-31 14:24:00,154172
248,MONNOCERA,2015-10-15 10:36:00,2024-01-31 14:29:00,212941
249,MONNOFABR,2021-06-13 11:07:00,2024-01-31 14:21:00,36918
250,MONOSPOOL,2021-06-13 11:00:00,2024-01-31 14:28:00,87187
251,MOSTFAMETL,2022-08-30 15:00:00,2024-01-31 14:20:00,8245
252,MPETROLEUM,2015-10-15 10:42:00,2024-01-31 14:27:00,97147
253,MTB,2015-10-15 11:34:00,2024-01-31 14:11:00,46541
254,NAHEEACP,2017-12-24 10:32:00,2024-01-31 14:25:00,103105
255,NATLIFEINS,2015-10-15 11:46:00,2024-01-31 14:20:00,50894
256,NAVANACNG,2015-10-15 10:46:00,2024-01-31 14:29:00,110477
257,NAVANAPHAR,2022-10-18 09:30:00,2024-01-31 14:29:00,59399
258,NBL,2015-10-15 10:40:00,2024-01-31 14:20:00,193030
259,NCCBANK,2015-10-15 10:52:00,2024-01-31 14:16:00,113522
260,NCCBLMF1,2015-10-15 10:34:00,2024-01-31 14:18:00,35012
261,NEWLINE,2019-05-27 10:01:00,2024-01-31 14:11:00,53291
262,NFML,2015-10-15 10:34:00,2024-01-31 14:20:00,187462
263,NHFIL,2015-10-15 11:54:00,2024-01-31 14:29:00,163438
264,NIALCO,2022-08-30 15:00:00,2024-01-31 14:28:00,8069
265,NITOLINS,2015-10-15 12:34:00,2024-01-31 14:19:00,89799
266,NLI1STMF,,,0
267,NORTHERN,2015-10-15 11:24:00,2024-01-31 14:19:00,121799
268,NORTHRNINS,2015-10-15 11:36:00,2024-01-31 14:19:00,97427
269,NPOLYMER,2015-10-15 10:42:00,2024-01-31 14:29:00,166631
270,NRBCBANK,2021-03-22 10:00:00,2024-01-31 14:23:00,65705
271,NTC,2015-10-15 11:40:00,2024-01-31 14:13:00,88739
272,NTLTUBES,2015-10-15 11:14:00,2024-01-31 14:21:00,181099
273,NURANI,2017-06-01 10:00:00,2024-01-31 14:24:00,102211
274,OAL,2015-10-15 10:34:00,2024-01-31 14:29:00,170624
275,OIMEX,2017-11-06 10:30:00,2024-01-31 14:29:00,113445
276,OLYMPIC,2015-10-15 10:48:00,2024-01-31 14:21:00,166187
277,ONEBANKPLC,2015-10-15 10:36:00,2024-01-31 14:22:00,147692
278,ORIONINFU,2015-10-15 10:42:00,2024-01-31 14:29:00,212223
279,ORIONPHARM,2015-10-15 10:44:00,2024-01-31 13:57:00,212190
280,ORYZAAGRO,2022-08-30 15:00:00,2024-01-31 14:19:00,9124
281,PADMALIFE,2015-10-15 11:22:00,2024-01-31 14:19:00,91628
282,PADMAOIL,2015-10-15 11:44:00,2024-01-31 14:28:00,68704
283,PAPERPROC,2021-06-13 10:59:00,2024-01-31 14:27:00,97619
284,PARAMOUNT,2015-10-15 12:28:00,2024-01-31 14:24:00,119338
285,PDL,2017-02-07 10:32:00,2024-01-31 14:29:00,145686
286,PENINSULA,2015-10-15 10:44:00,2024-01-31 14:21:00,169432
287,PEOPLESINS,2015-10-15 12:06:00,2024-01-31 14:23:00,116000
288,PF1STMF,2015-10-15 11:48:00,2024-01-31 14:19:00,62436
289,PHARMAID,2015-10-15 11:52:00,2024-01-31 14:29:00,153673
290,PHENIXINS,2015-10-15 11:50:00,2024-01-31 14:17:00,72556
291,PHOENIXFIN,2015-10-15 11:20:00,2024-01-31 14:23:00,64351
292,PHPMF1,2015-10-15 11:04:00,2024-01-31 14:20:00,72056
293,PIONEERINS,2015-10-15 14:09:00,2024-01-31 14:23:00,114636
294,POPULAR1MF,2015-10-15 10:48:00,2024-01-31 14:13:00,71310
295,POPULARLIF,2015-10-15 11:04:00,2024-01-31 14:29:00,88696
296,POWERGRID,2015-10-15 10:42:00,2024-01-31 14:29:00,142340
297,PRAGATIINS,2015-10-15 11:44:00,2024-01-31 14:19:00,77242
298,PRAGATILIF,2015-10-15 11:20:00,2024-01-31 14:21:00,94824
299,PREMIERBAN,2015-10-15 10:34:00,2024-01-31 14:28:00,179972
300,PREMIERCEM,2015-10-15 10:46:00,2024-01-31 14:29:00,72629
301,PREMIERLEA,2015-10-15 10:36:00,2024-01-31 14:10:00,97532
302,PRIME1ICBA,2015-10-15 10:52:00,2024-01-31 14:19:00,29069
303,PRIMEBANK,2015-10-15 10:56:00,2024-01-31 14:27:00,83805
304,PRIMEFIN,2015-10-15 10:40:00,2024-01-31 14:20:00,88393
305,PRIMEINSUR,2015-10-15 11:16:00,2024-01-31 14:27:00,68753
306,PRIMELIFE,2015-10-15 11:06:00,2024-01-31 14:19:00,72986
307,PRIMETEX,2015-10-15 11:40:00,2024-01-31 14:23:00,99430
308,PROGRESLIF,2015-10-15 11:36:00,2024-01-31 14:24:00,53793
309,PROVATIINS,2015-10-15 11:34:00,2024-01-31 14:29:00,116461
310,PTL,2015-10-15 11:04:00,2024-01-31 14:29:00,155762
311,PUBALIBANK,2015-10-15 10:36:00,2024-01-31 14:13:00,82881
312,PURABIGEN,2015-10-15 11:52:00,2024-01-31 14:20:00,148873
313,QUASEMIND,2015-10-15 11:24:00,2024-01-31 14:25:00,146449
314,QUEENSOUTH,2018-03-13 10:32:00,2024-01-31 14:22:00,105177
315,RAHIMAFOOD,2020-02-02 09:53:00,2024-01-31 14:21:00,80656
316,RAHIMTEXT,2015-10-15 11:46:00,2024-01-31 14:14:00,68901
317,RAKCERAMIC,2015-10-15 10:46:00,2024-01-31 14:29:00,144380
318,RANFOUNDRY,2015-10-15 10:54:00,2024-01-31 14:19:00,96763
319,RDFOOD,2015-10-15 11:30:00,2024-01-31 14:21:00,170470
320,RECKITTBEN,2015-10-15 10:34:00,2024-01-31 14:00:00,64050
321,REGENTTEX,2015-12-14 10:34:00,2024-01-31 14:22:00,126429
322,RELIANCE1,2015-10-15 11:04:00,2024-01-31 14:22:00,33631
323,RELIANCINS,2015-10-15 12:36:00,2024-01-31 14:19:00,62148
324,RENATA,2015-10-15 10:48:00,2024-01-31 12:51:00,84081
325,RENWICKJA,2015-10-15 12:12:00,2024-01-31 10:53:00,57392
326,REPUBLIC,2015-10-15 12:17:00,2024-01-31 14:24:00,129177
327,RINGSHINE,2019-12-12 10:30:00,2024-01-31 14:25:00,86427
328,RNSPIN,2015-10-15 10:46:00,2024-01-31 14:13:00,122027
329,ROBI,2020-12-24 10:00:00,2024-01-31 13:44:00,93992
330,RSRMSTEEL,2015-10-15 10:34:00,2024-01-31 14:28:00,147205
331,RUNNERAUTO,2019-05-21 10:00:00,2024-01-31 14:18:00,64499
332,RUPALIBANK,2015-10-15 12:54:00,2024-01-31 14:28:00,117172
333,RUPALIINS,2015-10-15 12:22:00,2024-01-31 14:29:00,144759
334,RUPALILIFE,2015-10-15 11:22:00,2024-01-31 14:28:00,178393
335,SADHESIVE,2022-08-30 15:00:00,2024-01-31 13:52:00,4549
336,SAFKOSPINN,2015-10-15 10:52:00,2024-01-31 14:27:00,114282
337,SAIFPOWER,2015-10-18 10:30:00,2024-01-31 14:22:00,204266
338,SAIHAMCOT,2015-10-15 10:50:00,2024-01-31 14:27:00,113995
339,SAIHAMTEX,2015-10-15 11:10:00,2024-01-31 14:25:00,98911
340,SALAMCRST,2015-10-15 10:36:00,2024-01-31 14:20:00,97128
341,SALVOCHEM,2015-10-15 10:56:00,2024-01-31 14:26:00,133687
342,SAMATALETH,2015-10-15 11:36:00,2024-01-31 14:25:00,73816
343,SAMORITA,2015-10-15 10:36:00,2024-01-31 14:29:00,117158
344,SANDHANINS,2015-10-15 10:58:00,2024-01-31 14:27:00,134839
345,SAPORTL,2015-10-15 10:36:00,2024-01-31 14:26:00,180267
346,SAVAREFR,,,0
347,SBACBANK,2021-08-11 10:00:00,2024-01-31 14:26:00,49007
348,SEAPEARL,2019-07-16 10:31:00,2024-01-31 14:29:00,130630
349,SEMLFBSLGF,2019-03-04 10:30:00,2024-01-31 14:26:00,49524
350,SEMLIBBLSF,2017-02-12 10:31:00,2024-01-31 14:18:00,44892
351,SEMLLECMF,2016-01-14 10:35:00,2024-01-31 14:22:00,58535
352,SHAHJABANK,2015-10-15 11:04:00,2024-01-31 14:18:00,88305
353,SHASHADNIM,2015-10-15 11:10:00,2024-01-31 14:28:00,119834
354,SHEPHERD,2017-03-08 10:31:00,2024-01-31 14:21:00,89435
355,SHURWID,2015-10-15 10:52:00,2024-01-31 14:19:00,135381
356,SHYAMPSUG,2015-10-18 14:13:00,2024-01-31 14:25:00,48009
357,SIBL,2015-10-15 10:46:00,2024-01-31 14:18:00,94953
358,SICL,2024-01-24 10:06:00,2024-01-31 14:16:00,129
359,SILCOPHL,2019-06-13 10:30:00,2024-01-31 14:28:00,88082
360,SILVAPHL,2018-10-10 10:30:00,2024-01-31 14:23:00,98391
361,SIMTEX,2015-11-23 10:33:00,2024-01-31 14:29:00,146224
362,SINGERBD,2015-10-15 10:36:00,2024-01-31 14:18:00,138063
